common_name,confidence,aru,date,time,sampling_interval
Pine Warbler,0.3531,ED_aru14,2025-04-17,14:00:00,20250417_14:00:00
Carolina Chickadee,0.6629,ED_aru14,2025-04-17,14:00:00,20250417_14:00:00
Tufted Titmouse,0.2854,ED_aru14,2025-04-17,14:00:00,20250417_14:00:00
Chimney Swift,0.902,ED_aru14,2025-04-17,14:00:00,20250417_14:00:00
House Finch,0.3939,ED_aru14,2025-04-17,14:20:00,20250417_14:20:00
Painted Bunting,0.412,ED_aru14,2025-04-17,14:20:00,20250417_14:20:00
American Goldfinch,0.2588,ED_aru14,2025-04-17,14:20:00,20250417_14:20:00
Carolina Chickadee,0.4912,ED_aru14,2025-04-17,14:20:00,20250417_14:20:00
Carolina Wren,0.3089,ED_aru14,2025-04-17,14:20:00,20250417_14:20:00
Rock Pigeon,0.4445,ED_aru14,2025-04-17,14:20:00,20250417_14:20:00
Chimney Swift,0.6076,ED_aru14,2025-04-17,14:20:00,20250417_14:20:00
Northern Cardinal,0.3139,ED_aru14,2025-04-17,14:20:00,20250417_14:20:00
White-throated Sparrow,0.4213,ED_aru14,2025-04-17,14:40:00,20250417_14:40:00
Chimney Swift,0.9564,ED_aru14,2025-04-17,14:40:00,20250417_14:40:00
Rock Pigeon,0.3673,ED_aru14,2025-04-17,15:00:00,20250417_15:00:00
Painted Bunting,0.3513,ED_aru14,2025-04-17,15:00:00,20250417_15:00:00
Chimney Swift,0.6072,ED_aru14,2025-04-17,15:00:00,20250417_15:00:00
White-eyed Vireo,0.2695,ED_aru14,2025-04-17,15:00:00,20250417_15:00:00
Great Blue Heron,0.6461,ED_aru14,2025-04-17,15:00:00,20250417_15:00:00
Chimney Swift,0.9735,ED_aru14,2025-04-17,15:20:00,20250417_15:20:00
Painted Bunting,0.3166,ED_aru14,2025-04-17,15:20:00,20250417_15:20:00
Mourning Dove,0.4024,ED_aru14,2025-04-17,15:20:00,20250417_15:20:00
Chimney Swift,0.8108,ED_aru14,2025-04-17,15:40:00,20250417_15:40:00
American Goldfinch,0.5795,ED_aru14,2025-04-17,15:40:00,20250417_15:40:00
Painted Bunting,0.2966,ED_aru14,2025-04-17,15:40:00,20250417_15:40:00
American Crow,0.298,ED_aru14,2025-04-17,16:00:00,20250417_16:00:00
Fish Crow,0.3446,ED_aru14,2025-04-17,16:00:00,20250417_16:00:00
American Robin,0.3803,ED_aru14,2025-04-17,16:00:00,20250417_16:00:00
Chimney Swift,0.6249,ED_aru14,2025-04-17,16:00:00,20250417_16:00:00
Eastern Towhee,0.3604,ED_aru14,2025-04-17,16:00:00,20250417_16:00:00
Carolina Wren,0.7513,ED_aru14,2025-04-17,16:00:00,20250417_16:00:00
Painted Bunting,0.279,ED_aru14,2025-04-17,16:20:00,20250417_16:20:00
Carolina Wren,0.3822,ED_aru14,2025-04-17,16:20:00,20250417_16:20:00
House Finch,0.2936,ED_aru14,2025-04-17,16:20:00,20250417_16:20:00
American Robin,0.5294,ED_aru14,2025-04-17,16:20:00,20250417_16:20:00
Chimney Swift,0.9888,ED_aru14,2025-04-17,16:20:00,20250417_16:20:00
Chimney Swift,0.6548,ED_aru14,2025-04-17,16:40:00,20250417_16:40:00
Pine Warbler,0.3714,ED_aru14,2025-04-17,16:40:00,20250417_16:40:00
American Crow,0.51,ED_aru14,2025-04-17,16:40:00,20250417_16:40:00
Northern Cardinal,0.4909,ED_aru14,2025-04-17,16:40:00,20250417_16:40:00
Red-bellied Woodpecker,0.2618,ED_aru14,2025-04-17,16:40:00,20250417_16:40:00
Eastern Towhee,0.3957,ED_aru14,2025-04-17,16:40:00,20250417_16:40:00
Ruby-crowned Kinglet,0.6994,ED_aru14,2025-04-17,16:40:00,20250417_16:40:00
American Robin,0.4215,ED_aru14,2025-04-17,16:40:00,20250417_16:40:00
Eastern Towhee,0.4301,ED_aru14,2025-04-17,17:00:00,20250417_17:00:00
American Robin,0.2841,ED_aru14,2025-04-17,17:00:00,20250417_17:00:00
Yellow-throated Vireo,0.546,ED_aru14,2025-04-17,17:00:00,20250417_17:00:00
Chimney Swift,0.3363,ED_aru14,2025-04-17,17:00:00,20250417_17:00:00
Carolina Wren,0.9837,ED_aru14,2025-04-17,17:00:00,20250417_17:00:00
Northern Cardinal,0.807,ED_aru14,2025-04-17,17:00:00,20250417_17:00:00
Chimney Swift,0.2832,ED_aru14,2025-04-17,17:20:00,20250417_17:20:00
Northern Cardinal,0.4,ED_aru14,2025-04-17,17:20:00,20250417_17:20:00
Mourning Dove,0.4719,ED_aru14,2025-04-17,17:20:00,20250417_17:20:00
Great Blue Heron,0.5329,ED_aru14,2025-04-17,17:20:00,20250417_17:20:00
Common Grackle,0.6445,ED_aru14,2025-04-17,17:20:00,20250417_17:20:00
Tufted Titmouse,0.5165,ED_aru14,2025-04-17,17:40:00,20250417_17:40:00
Chimney Swift,0.3964,ED_aru14,2025-04-17,17:40:00,20250417_17:40:00
House Finch,0.439,ED_aru14,2025-04-17,17:40:00,20250417_17:40:00
Eurasian Collared-Dove,0.4712,ED_aru14,2025-04-17,17:40:00,20250417_17:40:00
Chimney Swift,0.9949,ED_aru14,2025-04-17,18:00:00,20250417_18:00:00
Blue Jay,0.2862,ED_aru14,2025-04-17,18:00:00,20250417_18:00:00
Eastern Towhee,0.5883,ED_aru14,2025-04-17,18:00:00,20250417_18:00:00
Chipping Sparrow,0.2821,ED_aru14,2025-04-17,18:00:00,20250417_18:00:00
Hairy Woodpecker,0.3538,ED_aru14,2025-04-17,18:00:00,20250417_18:00:00
White-eyed Vireo,0.3091,ED_aru14,2025-04-17,18:00:00,20250417_18:00:00
Common Grackle,0.2817,ED_aru14,2025-04-17,18:00:00,20250417_18:00:00
Kentucky Warbler,0.4045,ED_aru14,2025-04-17,18:00:00,20250417_18:00:00
Chimney Swift,0.982,ED_aru14,2025-04-17,18:20:00,20250417_18:20:00
Eastern Towhee,0.6519,ED_aru14,2025-04-17,18:20:00,20250417_18:20:00
Eurasian Collared-Dove,0.5823,ED_aru14,2025-04-17,18:20:00,20250417_18:20:00
Mourning Dove,0.3326,ED_aru14,2025-04-17,18:20:00,20250417_18:20:00
Barred Owl,0.2648,ED_aru14,2025-04-17,18:20:00,20250417_18:20:00
American Robin,0.3768,ED_aru14,2025-04-17,18:20:00,20250417_18:20:00
Northern Cardinal,0.2986,ED_aru14,2025-04-17,18:40:00,20250417_18:40:00
Chimney Swift,0.3718,ED_aru14,2025-04-17,18:40:00,20250417_18:40:00
Common Grackle,0.3284,ED_aru14,2025-04-17,18:40:00,20250417_18:40:00
Rock Pigeon,0.8694,ED_aru14,2025-04-17,18:40:00,20250417_18:40:00
Chimney Swift,0.976,ED_aru14,2025-04-17,19:00:00,20250417_19:00:00
Northern Cardinal,0.3785,ED_aru14,2025-04-17,19:00:00,20250417_19:00:00
Bachman's Sparrow,0.2542,ED_aru14,2025-04-17,19:00:00,20250417_19:00:00
Pine Warbler,0.2505,ED_aru14,2025-04-17,19:00:00,20250417_19:00:00
House Finch,0.6594,ED_aru14,2025-04-17,19:00:00,20250417_19:00:00
Carolina Wren,0.2808,ED_aru14,2025-04-17,19:20:00,20250417_19:20:00
House Finch,0.327,ED_aru14,2025-04-17,19:20:00,20250417_19:20:00
Chimney Swift,0.7797,ED_aru14,2025-04-17,19:20:00,20250417_19:20:00
American Robin,0.3803,ED_aru14,2025-04-17,19:20:00,20250417_19:20:00
Northern Cardinal,0.5182,ED_aru14,2025-04-17,19:20:00,20250417_19:20:00
Chimney Swift,1,ED_aru14,2025-04-17,19:40:00,20250417_19:40:00
American Robin,0.2571,ED_aru14,2025-04-17,19:40:00,20250417_19:40:00
Summer Tanager,0.604,ED_aru14,2025-04-17,19:40:00,20250417_19:40:00
Baltimore Oriole,0.3111,ED_aru14,2025-04-17,19:40:00,20250417_19:40:00
Red-headed Woodpecker,0.7688,ED_aru14,2025-04-17,19:40:00,20250417_19:40:00
Chimney Swift,0.4014,ED_aru14,2025-04-17,20:00:00,20250417_20:00:00
Carolina Wren,0.2539,ED_aru14,2025-04-17,20:00:00,20250417_20:00:00
American Robin,0.2982,ED_aru14,2025-04-17,20:00:00,20250417_20:00:00
Wild Turkey,0.3281,ED_aru14,2025-04-17,20:00:00,20250417_20:00:00
Great Blue Heron,0.3505,ED_aru14,2025-04-17,20:20:00,20250417_20:20:00
Canada Goose,0.4616,ED_aru14,2025-04-17,20:40:00,20250417_20:40:00
Red-bellied Woodpecker,0.4686,ED_aru14,2025-04-17,21:00:00,20250417_21:00:00
Barred Owl,0.4288,ED_aru14,2025-04-17,23:00:00,20250417_23:00:00
Pine Warbler,0.4598,ED_aru14,2025-04-18,00:20:00,20250418_00:20:00
Canada Goose,0.3265,ED_aru14,2025-04-18,01:40:00,20250418_01:40:00
Yellow-rumped Warbler,0.3901,ED_aru14,2025-04-18,02:20:00,20250418_02:20:00
American Robin,0.3039,ED_aru14,2025-04-18,05:00:00,20250418_05:00:00
American Robin,0.2547,ED_aru14,2025-04-18,05:20:00,20250418_05:20:00
American Robin,0.2965,ED_aru14,2025-04-18,05:40:00,20250418_05:40:00
Purple Martin,0.6097,ED_aru14,2025-04-18,05:40:00,20250418_05:40:00
Northern Cardinal,0.2809,ED_aru14,2025-04-18,06:00:00,20250418_06:00:00
American Robin,0.3025,ED_aru14,2025-04-18,06:20:00,20250418_06:20:00
Baltimore Oriole,0.2899,ED_aru14,2025-04-18,06:20:00,20250418_06:20:00
Northern Cardinal,0.747,ED_aru14,2025-04-18,06:20:00,20250418_06:20:00
Carolina Wren,0.9585,ED_aru14,2025-04-18,06:20:00,20250418_06:20:00
White-eyed Vireo,0.4516,ED_aru14,2025-04-18,06:20:00,20250418_06:20:00
Northern Cardinal,0.2554,ED_aru14,2025-04-18,06:40:00,20250418_06:40:00
Rock Pigeon,0.454,ED_aru14,2025-04-18,06:40:00,20250418_06:40:00
American Robin,0.4191,ED_aru14,2025-04-18,06:40:00,20250418_06:40:00
Chimney Swift,0.7988,ED_aru14,2025-04-18,06:40:00,20250418_06:40:00
Common Grackle,0.3417,ED_aru14,2025-04-18,06:40:00,20250418_06:40:00
Rock Pigeon,0.5676,ED_aru14,2025-04-18,07:00:00,20250418_07:00:00
Chimney Swift,0.3149,ED_aru14,2025-04-18,07:00:00,20250418_07:00:00
Northern Cardinal,0.3004,ED_aru14,2025-04-18,07:00:00,20250418_07:00:00
Pine Warbler,0.5466,ED_aru14,2025-04-18,07:00:00,20250418_07:00:00
Carolina Wren,0.4177,ED_aru14,2025-04-18,07:00:00,20250418_07:00:00
White-throated Sparrow,0.2561,ED_aru14,2025-04-18,07:00:00,20250418_07:00:00
Chimney Swift,0.8834,ED_aru14,2025-04-18,07:20:00,20250418_07:20:00
Carolina Wren,0.7001,ED_aru14,2025-04-18,07:20:00,20250418_07:20:00
Pine Warbler,0.7792,ED_aru14,2025-04-18,07:20:00,20250418_07:20:00
Rose-breasted Grosbeak,0.2956,ED_aru14,2025-04-18,07:20:00,20250418_07:20:00
Northern Cardinal,0.7402,ED_aru14,2025-04-18,07:20:00,20250418_07:20:00
House Finch,0.265,ED_aru14,2025-04-18,07:20:00,20250418_07:20:00
Rock Pigeon,0.3992,ED_aru14,2025-04-18,07:20:00,20250418_07:20:00
Eastern Towhee,0.4297,ED_aru14,2025-04-18,07:40:00,20250418_07:40:00
Fish Crow,0.3005,ED_aru14,2025-04-18,07:40:00,20250418_07:40:00
Pine Warbler,0.6411,ED_aru14,2025-04-18,07:40:00,20250418_07:40:00
Chimney Swift,0.6685,ED_aru14,2025-04-18,07:40:00,20250418_07:40:00
American Robin,0.3144,ED_aru14,2025-04-18,07:40:00,20250418_07:40:00
Chipping Sparrow,0.2611,ED_aru14,2025-04-18,07:40:00,20250418_07:40:00
House Finch,0.3962,ED_aru14,2025-04-18,07:40:00,20250418_07:40:00
Rock Pigeon,0.3377,ED_aru14,2025-04-18,07:40:00,20250418_07:40:00
Tufted Titmouse,0.4665,ED_aru14,2025-04-18,07:40:00,20250418_07:40:00
Carolina Wren,0.9581,ED_aru14,2025-04-18,07:40:00,20250418_07:40:00
Red-bellied Woodpecker,0.3623,ED_aru14,2025-04-18,07:40:00,20250418_07:40:00
Rock Pigeon,0.6611,ED_aru14,2025-04-18,08:00:00,20250418_08:00:00
Chimney Swift,0.9906,ED_aru14,2025-04-18,08:00:00,20250418_08:00:00
Red-bellied Woodpecker,0.2923,ED_aru14,2025-04-18,08:00:00,20250418_08:00:00
Blue Jay,0.2932,ED_aru14,2025-04-18,08:00:00,20250418_08:00:00
Fish Crow,0.6373,ED_aru14,2025-04-18,08:00:00,20250418_08:00:00
Black-and-white Warbler,0.7157,ED_aru14,2025-04-18,08:00:00,20250418_08:00:00
Carolina Wren,0.6376,ED_aru14,2025-04-18,08:20:00,20250418_08:20:00
Rock Pigeon,0.5624,ED_aru14,2025-04-18,08:20:00,20250418_08:20:00
Northern Cardinal,0.3777,ED_aru14,2025-04-18,08:20:00,20250418_08:20:00
Blue Jay,0.2898,ED_aru14,2025-04-18,08:20:00,20250418_08:20:00
Chimney Swift,0.6693,ED_aru14,2025-04-18,08:20:00,20250418_08:20:00
Tufted Titmouse,0.8378,ED_aru14,2025-04-18,08:20:00,20250418_08:20:00
Chimney Swift,0.6245,ED_aru14,2025-04-18,08:40:00,20250418_08:40:00
Blue Jay,0.3742,ED_aru14,2025-04-18,08:40:00,20250418_08:40:00
Chipping Sparrow,0.757,ED_aru14,2025-04-18,08:40:00,20250418_08:40:00
Chimney Swift,0.3712,ED_aru14,2025-04-18,09:00:00,20250418_09:00:00
House Finch,0.4758,ED_aru14,2025-04-18,09:00:00,20250418_09:00:00
Rock Pigeon,0.6569,ED_aru14,2025-04-18,09:00:00,20250418_09:00:00
Northern Cardinal,0.2696,ED_aru14,2025-04-18,09:00:00,20250418_09:00:00
Bachman's Sparrow,0.3517,ED_aru14,2025-04-18,09:00:00,20250418_09:00:00
Pine Warbler,0.656,ED_aru14,2025-04-18,09:00:00,20250418_09:00:00
Tufted Titmouse,0.2548,ED_aru14,2025-04-18,09:00:00,20250418_09:00:00
Mourning Dove,0.3466,ED_aru14,2025-04-18,09:00:00,20250418_09:00:00
Northern Cardinal,0.538,ED_aru14,2025-04-18,09:20:00,20250418_09:20:00
Carolina Wren,0.321,ED_aru14,2025-04-18,09:20:00,20250418_09:20:00
Blue Jay,0.4186,ED_aru14,2025-04-18,09:20:00,20250418_09:20:00
Chimney Swift,0.2686,ED_aru14,2025-04-18,09:20:00,20250418_09:20:00
American Robin,0.3164,ED_aru14,2025-04-18,09:20:00,20250418_09:20:00
Wild Turkey,0.3724,ED_aru14,2025-04-18,09:20:00,20250418_09:20:00
Fish Crow,0.34,ED_aru14,2025-04-18,09:40:00,20250418_09:40:00
Chimney Swift,0.9112,ED_aru14,2025-04-18,09:40:00,20250418_09:40:00
American Crow,0.6821,ED_aru14,2025-04-18,09:40:00,20250418_09:40:00
Tufted Titmouse,0.3071,ED_aru14,2025-04-18,09:40:00,20250418_09:40:00
Northern Cardinal,0.2562,ED_aru14,2025-04-18,09:40:00,20250418_09:40:00
Rock Pigeon,0.6974,ED_aru14,2025-04-18,09:40:00,20250418_09:40:00
Blue Jay,0.5896,ED_aru14,2025-04-18,09:40:00,20250418_09:40:00
Chimney Swift,0.7445,ED_aru14,2025-04-18,10:00:00,20250418_10:00:00
White-throated Sparrow,0.7363,ED_aru14,2025-04-18,10:00:00,20250418_10:00:00
Tufted Titmouse,0.3808,ED_aru14,2025-04-18,10:00:00,20250418_10:00:00
Rock Pigeon,0.5821,ED_aru14,2025-04-18,10:00:00,20250418_10:00:00
Northern Cardinal,0.2578,ED_aru14,2025-04-18,10:00:00,20250418_10:00:00
Carolina Chickadee,0.4559,ED_aru14,2025-04-18,10:00:00,20250418_10:00:00
Northern Cardinal,0.369,ED_aru14,2025-04-18,10:20:00,20250418_10:20:00
Chimney Swift,0.541,ED_aru14,2025-04-18,10:20:00,20250418_10:20:00
Tufted Titmouse,0.2953,ED_aru14,2025-04-18,10:20:00,20250418_10:20:00
Carolina Wren,0.2823,ED_aru14,2025-04-18,10:20:00,20250418_10:20:00
Pine Warbler,0.3777,ED_aru14,2025-04-18,10:20:00,20250418_10:20:00
White-eyed Vireo,0.9358,ED_aru14,2025-04-18,10:20:00,20250418_10:20:00
Chimney Swift,0.9895,ED_aru14,2025-04-18,10:40:00,20250418_10:40:00
Painted Bunting,0.3548,ED_aru14,2025-04-18,10:40:00,20250418_10:40:00
Carolina Wren,0.3972,ED_aru14,2025-04-18,10:40:00,20250418_10:40:00
Rock Pigeon,0.30620000000000003,ED_aru14,2025-04-18,10:40:00,20250418_10:40:00
Wood Thrush,0.2503,ED_aru14,2025-04-18,10:40:00,20250418_10:40:00
Painted Bunting,0.2518,ED_aru14,2025-04-18,11:00:00,20250418_11:00:00
Northern Cardinal,0.3975,ED_aru14,2025-04-18,11:00:00,20250418_11:00:00
Chimney Swift,0.5764,ED_aru14,2025-04-18,11:00:00,20250418_11:00:00
Red-bellied Woodpecker,0.4331,ED_aru14,2025-04-18,11:00:00,20250418_11:00:00
Northern Bobwhite,0.2976,ED_aru14,2025-04-18,11:00:00,20250418_11:00:00
Northern Cardinal,0.5113,ED_aru14,2025-04-18,11:20:00,20250418_11:20:00
House Finch,0.3907,ED_aru14,2025-04-18,11:20:00,20250418_11:20:00
Turkey Vulture,0.3734,ED_aru14,2025-04-18,11:20:00,20250418_11:20:00
Blue Jay,0.3885,ED_aru14,2025-04-18,11:40:00,20250418_11:40:00
Chimney Swift,0.9029,ED_aru14,2025-04-18,11:40:00,20250418_11:40:00
Great Crested Flycatcher,0.2764,ED_aru14,2025-04-18,11:40:00,20250418_11:40:00
Great Blue Heron,0.73740000000000006,ED_aru14,2025-04-18,11:40:00,20250418_11:40:00
Painted Bunting,0.2519,ED_aru14,2025-04-18,11:40:00,20250418_11:40:00
Carolina Wren,0.5555,ED_aru14,2025-04-18,11:40:00,20250418_11:40:00
Northern Cardinal,0.5409,ED_aru14,2025-04-18,12:00:00,20250418_12:00:00
Mississippi Kite,0.5542,ED_aru14,2025-04-18,12:00:00,20250418_12:00:00
Chimney Swift,0.9843,ED_aru14,2025-04-18,12:00:00,20250418_12:00:00
Chipping Sparrow,0.2717,ED_aru14,2025-04-18,12:00:00,20250418_12:00:00
Blue Jay,0.2749,ED_aru14,2025-04-18,12:00:00,20250418_12:00:00
Chimney Swift,0.9975,ED_aru14,2025-04-18,12:20:00,20250418_12:20:00
Northern Cardinal,0.3862,ED_aru14,2025-04-18,12:20:00,20250418_12:20:00
Chimney Swift,0.7459,ED_aru14,2025-04-18,12:40:00,20250418_12:40:00
Osprey,0.6756,ED_aru14,2025-04-18,12:40:00,20250418_12:40:00
Rock Pigeon,0.3678,ED_aru14,2025-04-18,12:40:00,20250418_12:40:00
Blue Jay,0.8659,ED_aru14,2025-04-18,13:00:00,20250418_13:00:00
Chimney Swift,0.8411,ED_aru14,2025-04-18,13:00:00,20250418_13:00:00
Tufted Titmouse,0.3543,ED_aru14,2025-04-18,13:00:00,20250418_13:00:00
Dunlin,0.3789,ED_aru14,2025-04-18,13:00:00,20250418_13:00:00
Chimney Swift,0.9691,ED_aru14,2025-04-18,13:20:00,20250418_13:20:00
Northern Cardinal,0.4299,ED_aru14,2025-04-18,13:20:00,20250418_13:20:00
Common Grackle,0.2708,ED_aru14,2025-04-18,13:20:00,20250418_13:20:00
Rock Pigeon,0.4241,ED_aru14,2025-04-18,13:20:00,20250418_13:20:00
House Finch,0.8344,ED_aru14,2025-04-18,13:20:00,20250418_13:20:00
Painted Bunting,0.2813,ED_aru14,2025-04-18,13:40:00,20250418_13:40:00
Red-shouldered Hawk,0.4042,ED_aru14,2025-04-18,13:40:00,20250418_13:40:00
Northern Bobwhite,0.5436,ED_aru14,2025-04-18,13:40:00,20250418_13:40:00
Northern Cardinal,0.6331,ED_aru14,2025-04-18,13:40:00,20250418_13:40:00
Rock Pigeon,0.3794,ED_aru14,2025-04-18,13:40:00,20250418_13:40:00
Blue Jay,0.7213,ED_aru14,2025-04-18,13:40:00,20250418_13:40:00
Chimney Swift,0.6052,ED_aru14,2025-04-18,13:40:00,20250418_13:40:00
Chimney Swift,0.9381,ED_aru14,2025-04-18,14:00:00,20250418_14:00:00
Northern Cardinal,0.6348,ED_aru14,2025-04-18,14:00:00,20250418_14:00:00
Chimney Swift,0.7396,ED_aru14,2025-04-18,14:20:00,20250418_14:20:00
Rock Pigeon,0.5627,ED_aru14,2025-04-18,14:20:00,20250418_14:20:00
Pine Warbler,0.4388,ED_aru14,2025-04-18,14:20:00,20250418_14:20:00
Carolina Wren,0.2637,ED_aru14,2025-04-18,14:20:00,20250418_14:20:00
Rock Pigeon,0.2827,ED_aru14,2025-04-18,14:40:00,20250418_14:40:00
Osprey,0.2687,ED_aru14,2025-04-18,14:40:00,20250418_14:40:00
White-eyed Vireo,0.5906,ED_aru14,2025-04-18,14:40:00,20250418_14:40:00
Chimney Swift,0.3801,ED_aru14,2025-04-18,14:40:00,20250418_14:40:00
Carolina Wren,0.5349,ED_aru14,2025-04-18,15:00:00,20250418_15:00:00
White-throated Sparrow,0.5235,ED_aru14,2025-04-18,15:00:00,20250418_15:00:00
Chimney Swift,0.9492,ED_aru14,2025-04-18,15:00:00,20250418_15:00:00
Loggerhead Shrike,0.7023,ED_aru14,2025-04-18,15:00:00,20250418_15:00:00
House Finch,0.4024,ED_aru14,2025-04-18,15:00:00,20250418_15:00:00
Painted Bunting,0.2669,ED_aru14,2025-04-18,15:00:00,20250418_15:00:00
Pine Warbler,0.3331,ED_aru14,2025-04-18,15:00:00,20250418_15:00:00
Chimney Swift,0.6269,ED_aru14,2025-04-18,15:20:00,20250418_15:20:00
Fish Crow,0.2922,ED_aru14,2025-04-18,15:20:00,20250418_15:20:00
Northern Cardinal,0.3829,ED_aru14,2025-04-18,15:20:00,20250418_15:20:00
